ID,type,descr,city,suburb,year,geo
175,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
176,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
177,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20822 -33.87077)
179,Assault,Non-domestic violence related assault,Sydney,CHIPPENDALE,2013,POINT (151.20154 -33.88771)
180,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211341 -33.867836)
181,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211768 -33.871084)
182,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21991 -33.87153)
183,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20656 -33.87523)
184,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20784 -33.87664)
185,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.218795 -33.881425)
186,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.216871 -33.880653)
188,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.209967 -33.872874)
189,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.208084 -33.894073)
191,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.216969 -33.880647)
192,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.216969 -33.880647)
193,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.196051 -33.867877)
194,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.19463 -33.87162)
195,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.19463 -33.87162)
196,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.206628 -33.875362)
197,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20967 -33.86907)
198,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21412 -33.87561)
199,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22141 -33.87829)
200,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207388 -33.881431)
202,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207045 -33.880085)
203,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.1927 -33.8693)
204,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.1927 -33.8693)
206,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211341 -33.867836)
207,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.203125 -33.869125)
208,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.225032 -33.865827)
209,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.209967 -33.872874)
210,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211802 -33.870966)
211,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.22126 -33.87324)
213,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.2153 -33.87993)
214,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2256 -33.86742)
216,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.20833 -33.89338)
218,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.2086 -33.87829)
219,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20877 -33.87679)
220,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20743 -33.87809)
221,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.203244 -33.895596)
223,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.2043 -33.88277)
224,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.2043 -33.88277)
225,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223597 -33.874108)
226,Assault,Non-domestic violence related assault,Sydney,ZETLAND,2013,POINT (151.2074 -33.90369)
227,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.20446 -33.87872)
228,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.204533 -33.869214)
229,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.204533 -33.869214)
230,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.226284 -33.876363)
232,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.210165 -33.88078)
233,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.20896 -33.89492)
234,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.218795 -33.881425)
