sa2_code,sa2_name,area_m2,total_cars
102021052,Summerland Point - Gwandalan,9.1793,5118.0
102021053,The Entrance,13.8576,11808.0
102021054,Toukley - Norah Head,10.5216,7376.0
102021055,Tuggerah - Kangy Angy,27.8463,4712.0
102021056,Warnervale - Wadalba,42.89,13519.0
102021057,Wyong,15.0334,7861.0
103011059,Bathurst - East,94.0342,10110.0
103011060,Bathurst Surrounds,3798.2628,6264.0
103011061,Oberon,2972.3813,5031.0
103011612,Bathurst - South,37.4794,9761.0
103011613,Bathurst - West,82.0252,11805.0
103021062,Condobolin,15858.8502,6143.0
103021063,Cowra,242.201,8256.0
103021064,Cowra Surrounds,3037.1556,5751.0
103021065,Forbes,4598.0438,9433.0
103021066,Grenfell,3294.0766,3731.0
103021067,Parkes (NSW),234.7555,9628.0
103021068,Parkes Surrounds,5418.1649,3308.0
103021069,West Wyalong,8317.473,5828.0
103031070,Lithgow,119.9844,11303.0
103031071,Lithgow Surrounds,2514.0698,7766.0
103031072,Mudgee,65.8949,12113.0
103031073,Mudgee Surrounds - East,2852.0843,3500.0
103031074,Mudgee Surrounds - West,8043.8633,10481.0
103041076,Blayney,1642.6748,7230.0
103041077,Orange,45.2499,17073.0
103041078,Orange - North,99.5119,17744.0
103041079,Orange Surrounds,4480.0956,10967.0
104011080,Grafton,106.2537,16364.0
104011081,Grafton Surrounds,8445.891,13717.0
104011082,Maclean - Yamba - Iluka,711.0493,13889.0
104021083,Bellingen,1001.0481,5175.0
104021084,Coffs Harbour - North,25.6688,15387.0
104021085,Coffs Harbour - South,33.6996,9074.0
104021086,Coramba - Nana Glen - Bucca,363.909,3368.0
104021087,Dorrigo,1987.6714,3152.0
104021088,Korora - Emerald Beach,57.6882,7707.0
104021089,Sawtell - Boambee,118.2251,14984.0
104021090,Urunga,108.4124,4247.0
104021091,Woolgoolga - Arrawarra,270.2411,10966.0
105011092,Bourke - Brewarrina,56841.5222,2817.0
105011093,Cobar,45551.398,3922.0
105011094,Coonamble,12142.3532,3738.0
105011095,Nyngan - Warren,21216.0023,4880.0
105011096,Walgett - Lightning Ridge,27011.1328,5235.0
105021097,Broken Hill,170.1153,14097.0
105021098,Far West,146684.7317,1753.0
105031099,Coonabarabran,10474.1331,7708.0
105031100,Dubbo - East,87.6912,9650.0
105031101,Dubbo - South,25.4336,15740.0
105031102,Dubbo - West,69.436,8121.0
105031103,Dubbo Surrounds,4128.5682,5532.0
105031104,Gilgandra,5393.4381,3650.0
105031105,Narromine,5956.2535,5856.0
105031106,Wellington,3603.4369,6961.0
106011107,Branxton - Greta - Pokolbin,392.2862,9968.0
106011108,Cessnock,68.9812,18092.0
106011109,Cessnock Surrounds,1570.4345,6642.0
106011110,Dungog,2249.9983,9062.0
106011111,Kurri Kurri - Abermain,90.6145,15948.0
106011112,Singleton,127.2317,17170.0
106011113,Singleton Surrounds,4067.2348,5328.0
106021114,Maitland,32.0793,6261.0
106021116,Maitland - North,70.5478,6940.0
106021614,East Maitland - Metford,21.6762,14952.0
106021615,Rutherford (North) - Aberglasslyn,136.1326,14352.0
106021616,Rutherford (South) - Telarah,39.3028,6208.0
106021617,Tenambit - East Maitland,17.2818,7724.0
106021618,Thornton - Millers Forest,63.0964,12233.0
106031119,Anna Bay,68.05,5399.0
106031120,Lemon Tree Passage - Tanilba Bay,29.9822,5510.0
106031121,Nelson Bay Peninsula,47.4762,17633.0
106031122,Raymond Terrace,109.4864,12517.0
106031123,Seaham - Woodville,247.4836,5022.0
106031124,Tea Gardens - Hawks Nest,204.3164,4565.0
106031125,Williamtown - Medowie - Karuah,365.182,12450.0
106041126,Muswellbrook,262.3964,11263.0
106041127,Muswellbrook Surrounds,3142.4877,3628.0
106041128,Scone,118.5743,5387.0
106041129,Scone Surrounds,7948.9584,7664.0
107011131,Dapto - Avondale,56.6003,18821.0
